Timestamp,ECG Value
1730378905.419091,310
1730378905.419892,321
1730378905.419989,315
1730378905.420109,308
1730378905.4201999,308
1730378905.4202611,307
1730378905.4203122,307
1730378905.4203598,308
1730378905.420407,311
1730378905.420449,316
1730378905.420487,311
1730378905.420522,316
1730378905.420556,318
1730378905.420587,321
1730378905.420618,323
1730378905.420649,329
1730378905.4206789,334
1730378905.4207091,339
1730378905.4207392,344
1730378905.420769,326
1730378905.420799,327
1730378905.433088,329
1730378905.4535549,329
1730378905.474022,331
1730378905.4945102,300
1730378905.5149171,442
1730378905.535439,551
1730378905.555939,340
1730378905.5762959,322
1730378905.59688,316
1730378905.613309,321
1730378905.63378,320
1730378905.6542468,324
1730378905.6747022,324
1730378905.695063,326
1730378905.715679,328
1730378905.736157,328
1730378905.756595,330
1730378905.777032,334
1730378905.797599,326
1730378905.818047,322
1730378905.838571,320
1730378905.859005,319
1730378905.879524,323
1730378905.8999412,320
1730378905.920415,321
1730378905.940906,323
1730378905.96139,318
1730378905.981863,320
1730378906.002238,318
1730378906.018699,317
1730378906.03924,320
1730378906.05971,318
1730378906.080245,325
1730378906.100702,332
1730378906.121175,324
1730378906.141651,315
1730378906.162125,314
1730378906.182606,318
1730378906.2030861,313
1730378906.223563,315
1730378906.244044,280
1730378906.2645261,533
1730378906.284918,440
1730378906.305529,312
1730378906.325952,300
1730378906.346432,300
1730378906.3668501,302
1730378906.3873532,304
1730378906.407867,304
1730378906.4283588,308
1730378906.444622,310
1730378906.4652202,312
1730378906.485627,313
1730378906.5061939,318
1730378906.5266502,317
1730378906.547071,312
1730378906.567611,310
1730378906.588029,308
1730378906.608567,310
1730378906.629031,312
1730378906.6495261,313
1730378906.670028,312
1730378906.6904352,313
1730378906.7108622,311
1730378906.731439,313
1730378906.751797,312
1730378906.772395,312
1730378906.792812,313
1730378906.813334,316
1730378906.833807,326
1730378906.8501408,327
1730378906.870749,313
1730378906.8911722,313
1730378906.911712,314
1730378906.9321222,314
1730378906.952599,313
1730378906.973057,288
1730378906.993429,336
1730378907.014081,582
1730378907.0345101,335
1730378907.05502,301
1730378907.0754502,297
1730378907.095962,300
1730378907.116414,300
1730378907.1368902,303
1730378907.157349,306
1730378907.177841,310
1730378907.198357,314
1730378907.218705,318
1730378907.239317,322
1730378907.259704,329
1730378907.276053,327
1730378907.29677,324
1730378907.31703,321
1730378907.337545,324
1730378907.358024,326
1730378907.378455,328
1730378907.398995,327
1730378907.419463,328
1730378907.439969,327
1730378907.4603891,325
1730378907.480908,322
1730378907.50135,322
1730378907.521897,323
1730378907.5423412,323
1730378907.562882,324
1730378907.583314,335
1730378907.603818,328
1730378907.624254,318
1730378907.644788,321
1730378907.665212,318
1730378907.6817448,318
1730378907.702141,316
1730378907.722629,286
1730378907.743017,464
1730378907.763644,507
1730378907.78403,316
1730378907.80455,296
1730378907.825046,298
1730378907.8454149,298
1730378907.8660212,298
1730378907.8864481,302
1730378907.906875,304
1730378907.927281,306
1730378907.947934,310
1730378907.968262,310
1730378907.988847,315
1730378908.009268,314
1730378908.029797,312
1730378908.050227,303
1730378908.07073,300
1730378908.087157,306
1730378908.1076639,307
1730378908.128124,309
1730378908.148562,310
1730378908.169017,309
1730378908.189527,308
1730378908.209941,311
1730378908.230499,309
1730378908.2509131,305
1730378908.2714581,309
1730378908.29191,313
1730378908.3124192,321
1730378908.3328562,327
1730378908.35334,315
1730378908.373815,312
1730378908.394179,314
1730378908.4148061,317
1730378908.4351249,316
1730378908.455713,313
1730378908.4761732,280
1730378908.496696,524
1730378908.513128,443
1730378908.533571,310
1730378908.554118,302
1730378908.574631,303
1730378908.595119,299
1730378908.615495,303
1730378908.635839,306
1730378908.65647,306
1730378908.676849,311
1730378908.6974232,314
1730378908.717862,317
1730378908.738378,325
1730378908.75889,328
1730378908.779326,319
1730378908.7997599,318
1730378908.82027,315
1730378908.8407319,320
1730378908.861119,323
1730378908.881693,324
1730378908.9022021,325
1730378908.9186041,324
1730378908.9390998,324
1730378908.9595919,321
1730378908.9800801,323
1730378909.000501,322
1730378909.020996,332
1730378909.041433,338
1730378909.0619688,331
1730378909.082407,318
1730378909.1029718,321
1730378909.12337,319
1730378909.143831,316
1730378909.164302,316
1730378909.184757,284
1730378909.2052999,469
1730378909.225774,500
1730378909.246232,322
1730378909.266646,303
1730378909.28723,302
1730378909.307756,304
1730378909.328133,305
1730378909.3445618,304
1730378909.365043,305
1730378909.385424,307
1730378909.406026,312
1730378909.4264572,311
1730378909.446947,314
1730378909.4674098,318
1730378909.487941,311
1730378909.508338,310
1730378909.528857,309
1730378909.549332,311
1730378909.5698152,313
1730378909.590295,315
1730378909.6107972,312
1730378909.631236,315
1730378909.651624,311
1730378909.672179,312
1730378909.692657,311
1730378909.7131772,311
1730378909.733597,320
1730378909.7500212,322
1730378909.7705338,325
1730378909.791014,315
1730378909.8115132,310
1730378909.831976,310
1730378909.8522859,312
1730378909.872868,313
1730378909.8932722,303
1730378909.91385,281
1730378909.934339,572
1730378909.954867,376
1730378909.975252,303
1730378909.995729,295
1730378910.0162408,294
1730378910.036742,298
1730378910.057203,302
1730378910.0775528,304
1730378910.0981388,308
1730378910.118502,313
1730378910.1391191,312
1730378910.155526,315
1730378910.17593,319
1730378910.196485,316
1730378910.21698,308
1730378910.2374558,306
1730378910.257918,307
1730378910.2784681,309
1730378910.29884,309
1730378910.3193521,310
1730378910.3398368,314
1730378910.3602319,313
1730378910.3807878,313
1730378910.401147,312
1730378910.421723,312
1730378910.4422212,317
1730378910.4627311,318
1730378910.4831529,322
1730378910.503642,338
1730378910.52405,336
1730378910.544569,321
1730378910.565042,324
1730378910.5814679,325
1730378910.601888,324
1730378910.622473,325
1730378910.642803,299
1730378910.663427,320
1730378910.683865,601
1730378910.704392,359
1730378910.724839,314
1730378910.745342,306
1730378910.765791,304
1730378910.7862232,308
1730378910.806747,307
1730378910.827204,308
1730378910.847714,314
1730378910.868147,316
1730378910.888705,317
1730378910.90908,319
1730378910.92961,323
1730378910.95,318
1730378910.970552,314
1730378910.987016,308
1730378911.0074282,312
1730378911.027961,314
1730378911.04844,313
1730378911.0688388,320
1730378911.0893471,324
1730378911.10974,327
1730378911.130332,327
1730378911.1508,328
1730378911.1712341,324
1730378911.191713,326
1730378911.212163,324
1730378911.232704,325
1730378911.25317,323
1730378911.273678,330
1730378911.2940102,336
1730378911.314585,331
1730378911.335032,320
1730378911.355544,320
1730378911.3759649,321
1730378911.396495,318
1730378911.412929,320
1730378911.4333708,290
1730378911.453902,453
1730378911.474376,528
1730378911.4948668,317
